title,date,startAt,endAt,description,executionMode,projects,lifeArea
Просыпание,2025-06-08,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
в спортзал,2025-06-08,03:00,03:15,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-08,03:15,03:30,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-08,03:30,03:45,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-08,03:45,04:00,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-08,04:00,04:15,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-08,04:15,04:30,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-08,04:30,04:45,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-08,04:45,05:00,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-08,05:00,05:15,,SELF,Здоровье и спорт,Крепкое здоровье
Просыпание,2025-06-09,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Музыка,2025-06-09,05:00,05:15,,SELF,Обучение профессии музыкант,Мощное творчество
Музыка,2025-06-09,05:15,05:30,,SELF,Обучение профессии музыкант,Мощное творчество
Музыка,2025-06-09,05:30,05:45,,SELF,Обучение профессии музыкант,Мощное творчество
Java. Видео,2025-06-09,08:00,08:15,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java. Видео,2025-06-09,08:15,08:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java. Видео,2025-06-09,09:15,09:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-09,09:30,09:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-09,09:45,10:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-09,10:00,10:15,,SELF,Обучение профессии QA-инженер,Мощное творчество
Муз курсы,2025-06-09,12:45,13:00,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-09,13:00,13:15,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-09,13:15,13:30,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-09,13:30,13:45,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-09,13:45,14:00,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-09,14:00,14:15,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-09,14:15,14:30,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-09,14:30,14:45,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-09,14:45,15:00,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-09,15:00,15:15,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-09,15:15,15:30,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-09,15:30,15:45,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-09,15:45,16:00,,SELF,Обучение профессии музыкант,Мощное творчество
Просыпание,2025-06-10,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Музыка,2025-06-10,04:45,05:00,,SELF,Обучение профессии музыкант,Мощное творчество
Музыка,2025-06-10,05:00,05:15,,SELF,Обучение профессии музыкант,Мощное творчество
Музыка,2025-06-10,05:15,05:30,,SELF,Обучение профессии музыкант,Мощное творчество
Музыка,2025-06-10,05:30,05:45,,SELF,Обучение профессии музыкант,Мощное творчество
Музыка,2025-06-10,05:45,06:00,,SELF,Обучение профессии музыкант,Мощное творчество
Музыка,2025-06-10,08:30,08:45,,SELF,Обучение профессии музыкант,Мощное творчество
Музыка,2025-06-10,08:45,09:00,,SELF,Обучение профессии музыкант,Мощное творчество
Музыка,2025-06-10,09:00,09:15,,SELF,Обучение профессии музыкант,Мощное творчество
в спортзал,2025-06-10,10:30,10:45,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-10,10:45,11:00,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-10,11:00,11:15,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-10,11:15,11:30,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-10,11:30,11:45,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-10,11:45,12:00,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-10,12:00,12:15,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-10,12:15,12:30,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-10,12:30,12:45,,SELF,Здоровье и спорт,Крепкое здоровье
Java,2025-06-10,14:15,14:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-10,14:30,14:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-10,14:45,15:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Музыка,2025-06-10,16:00,16:15,,SELF,Обучение профессии музыкант,Мощное творчество
Музыка,2025-06-10,16:15,16:30,,SELF,Обучение профессии музыкант,Мощное творчество
Просыпание,2025-06-11,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Музыка,2025-06-11,04:30,04:45,,SELF,Обучение профессии музыкант,Мощное творчество
Музыка,2025-06-11,04:45,05:00,,SELF,Обучение профессии музыкант,Мощное творчество
Java,2025-06-11,10:45,11:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-11,11:15,11:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-11,11:30,11:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-11,11:45,12:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-11,12:00,12:15,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-11,12:15,12:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-11,12:30,12:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-11,12:45,13:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-11,13:00,13:15,,SELF,Обучение профессии QA-инженер,Мощное творчество
Просыпание,2025-06-12,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Музыка,2025-06-12,04:30,04:45,,SELF,Обучение профессии музыкант,Мощное творчество
Музыка,2025-06-12,04:45,05:00,,SELF,Обучение профессии музыкант,Мощное творчество
Java,2025-06-12,08:00,08:15,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-12,08:15,08:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-12,08:30,08:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-12,08:45,09:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
в спортзал,2025-06-12,10:30,10:45,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-12,10:45,11:00,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-12,11:00,11:15,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-12,11:15,11:30,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-12,11:30,11:45,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-12,11:45,12:00,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-12,12:00,12:15,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-12,12:15,12:30,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-12,12:30,12:45,,SELF,Здоровье и спорт,Крепкое здоровье
Java,2025-06-12,14:45,15:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-12,15:15,15:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Просыпание,2025-06-13,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Подработка в магазине,2025-06-13,02:00,02:15,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,02:15,02:30,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,02:30,02:45,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,02:45,03:00,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,03:00,03:15,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,03:15,03:30,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,03:30,03:45,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,03:45,04:00,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,04:00,04:15,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,04:15,04:30,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,04:30,04:45,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,04:45,05:00,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,05:00,05:15,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,05:15,05:30,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,05:30,05:45,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,05:45,06:00,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,06:00,06:15,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,06:15,06:30,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,06:30,06:45,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,06:45,07:00,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,07:00,07:15,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,07:15,07:30,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,07:30,07:45,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,07:45,08:00,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,08:00,08:15,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,08:15,08:30,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,08:30,08:45,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,08:45,09:00,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,09:00,09:15,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,09:15,09:30,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,09:30,09:45,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,09:45,10:00,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,10:00,10:15,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,10:15,10:30,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,10:30,10:45,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,10:45,11:00,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,11:00,11:15,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,11:15,11:30,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,11:30,11:45,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,11:45,12:00,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,12:00,12:15,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,12:15,12:30,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,12:30,12:45,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,12:45,13:00,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,13:00,13:15,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,13:15,13:30,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,13:30,13:45,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,13:45,14:00,,SELF,Подработка и финансы,Финансовый рост
Подработка в магазине,2025-06-13,14:00,14:15,,SELF,Подработка и финансы,Финансовый рост
Просыпание,2025-06-14,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Хастл,2025-06-14,05:15,05:30,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,05:30,05:45,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,05:45,06:00,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,06:00,06:15,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,06:15,06:30,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,06:30,06:45,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,06:45,07:00,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,07:00,07:15,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,07:15,07:30,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,07:30,07:45,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,07:45,08:00,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,08:00,08:15,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,08:15,08:30,,SELF,Подработка и финансы,Мощное творчество
Хастл,2025-06-14,08:30,08:45,,SELF,Подработка и финансы,Мощное творчество
Просыпание,2025-06-15,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
в спортзал,2025-06-15,03:00,03:15,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-15,03:15,03:30,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-15,03:30,03:45,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-15,03:45,04:00,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-15,04:00,04:15,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-15,04:15,04:30,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-15,04:30,04:45,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-15,04:45,05:00,,SELF,Здоровье и спорт,Крепкое здоровье
в спортзал,2025-06-15,05:00,05:15,,SELF,Здоровье и спорт,Крепкое здоровье
Английский клуб,2025-06-15,09:00,09:15,,SELF,Изучение английского,Мощное творчество
Английский клуб,2025-06-15,09:15,09:30,,SELF,Изучение английского,Мощное творчество
Английский клуб,2025-06-15,09:30,09:45,,SELF,Изучение английского,Мощное творчество
Английский клуб,2025-06-15,09:45,10:00,,SELF,Изучение английского,Мощное творчество
Английский клуб,2025-06-15,10:00,10:15,,SELF,Изучение английского,Мощное творчество
Английский клуб,2025-06-15,10:15,10:30,,SELF,Изучение английского,Мощное творчество
Английский клуб,2025-06-15,10:30,10:45,,SELF,Изучение английского,Мощное творчество
Английский клуб,2025-06-15,10:45,11:00,,SELF,Изучение английского,Мощное творчество
Java,2025-06-15,13:45,14:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-15,14:00,14:15,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-15,14:15,14:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-15,14:30,14:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-15,14:45,15:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Просыпание,2025-06-16,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Java. Видео,2025-06-16,08:30,08:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java. Видео,2025-06-16,09:30,09:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-16,09:45,10:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-16,10:00,10:15,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-16,10:15,10:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-16,10:30,10:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-16,10:45,11:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-16,11:00,11:15,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-16,11:15,11:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-16,11:30,11:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-16,11:45,12:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Муз курсы,2025-06-16,12:45,13:00,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-16,13:00,13:15,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-16,13:15,13:30,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-16,13:30,13:45,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-16,13:45,14:00,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-16,14:00,14:15,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-16,14:15,14:30,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-16,14:30,14:45,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-16,14:45,15:00,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-16,15:00,15:15,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-16,15:15,15:30,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-16,15:30,15:45,,SELF,Обучение профессии музыкант,Мощное творчество
Муз курсы,2025-06-16,15:45,16:00,,SELF,Обучение профессии музыкант,Мощное творчество
Просыпание,2025-06-17,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
Java,2025-06-17,09:15,09:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-17,09:30,09:45,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-17,09:45,10:00,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-17,10:00,10:15,,SELF,Обучение профессии QA-инженер,Мощное творчество
Java,2025-06-17,10:15,10:30,,SELF,Обучение профессии QA-инженер,Мощное творчество
Спортзал,2025-06-17,12:30,12:45,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-17,12:45,13:00,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-17,13:00,13:15,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-17,13:15,13:30,,SELF,Здоровье и спорт,Крепкое здоровье
Спортзал,2025-06-17,13:30,13:45,,SELF,Здоровье и спорт,Крепкое здоровье
Просыпание,2025-06-18,01:30,01:45,,SELF,Сон и восстановление,Уход за собой
